frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
191,1,0,0,11,red,373,T13
192,1,0,0,11,red,373,T13
193,1,0,0,11,red,373,T13
194,1,0,0,11,red,373,T13
195,1,0,0,11,red,373,T13
196,1,0,0,11,red,373,T13
197,1,0,0,11,red,373,T13
198,1,0,0,11,red,373,T13
199,1,0,0,11,red,373,T13
200,1,0,0,11,red,373,T13
201,1,0,0,11,red,373,T13
202,1,0,0,11,red,373,T13
203,1,0,0,11,red,373,T13
204,1,0,0,11,red,373,T13
205,1,0,0,11,red,373,T13
206,1,0,0,11,red,373,T13
0,0,0,1,12,red,599,T13
1,0,0,1,12,red,599,T13
2,0,0,1,12,red,599,T13
3,0,0,1,12,red,599,T13
4,0,0,1,12,red,599,T13
5,0,0,1,12,red,599,T13
6,0,0,1,12,red,599,T13
7,0,0,1,12,red,599,T13
8,0,0,1,12,red,599,T13
9,0,0,1,12,red,599,T13
10,0,0,1,12,red,599,T13
11,0,0,1,12,red,599,T13
12,0,0,1,12,red,599,T13
13,0,0,1,12,red,599,T13
14,0,0,1,12,red,599,T13
15,0,0,1,12,red,599,T13
16,0,0,1,12,red,599,T13
17,0,0,1,12,red,599,T13
18,0,0,1,12,red,599,T13
19,0,1,0,12,red,599,T13
20,0,1,0,12,red,599,T13
21,0,1,0,12,red,599,T13
22,0,1,0,12,red,599,T13
23,0,1,0,12,red,599,T13
24,0,1,0,12,red,599,T13
25,0,1,0,12,red,599,T13
26,0,1,0,12,red,599,T13
27,0,1,0,12,red,599,T13
28,0,1,0,12,red,599,T13
29,0,1,0,12,red,599,T13
30,0,1,0,12,red,599,T13
31,0,1,0,12,red,599,T13
32,0,1,0,12,red,599,T13
33,0,1,0,12,red,599,T13
34,0,1,0,12,red,599,T13
35,0,1,0,12,red,599,T13
36,0,1,0,12,red,599,T13
37,0,1,0,12,red,599,T13
38,0,1,0,12,red,599,T13
39,0,1,0,12,red,599,T13
40,0,1,0,12,red,599,T13
41,0,1,0,12,red,599,T13
42,0,1,0,12,red,599,T13
43,0,1,0,12,red,599,T13
44,0,1,0,12,red,599,T13
45,0,1,0,12,red,599,T13
46,0,1,0,12,red,599,T13
47,0,1,0,12,red,599,T13
48,0,1,0,12,red,599,T13
49,0,1,0,12,red,599,T13
50,0,1,0,12,red,599,T13
51,0,1,0,12,red,599,T13
52,0,1,0,12,red,599,T13
53,0,1,0,12,red,599,T13
54,0,1,0,12,red,599,T13
55,0,1,0,12,red,599,T13
56,0,1,0,12,red,599,T13
57,0,1,0,12,red,599,T13
58,0,1,0,12,red,599,T13
59,0,1,0,12,red,599,T13
60,0,1,0,12,red,599,T13
61,0,1,0,12,red,599,T13
62,0,1,0,12,red,599,T13
63,0,1,0,12,red,599,T13
64,0,1,0,12,red,599,T13
65,0,1,0,12,red,599,T13
66,0,1,0,12,red,599,T13
67,0,1,0,12,red,599,T13
68,0,1,0,12,red,599,T13
69,0,1,0,12,red,599,T13
70,0,1,0,12,red,599,T13
71,0,1,0,12,red,599,T13
72,0,1,0,12,red,599,T13
73,0,1,0,12,red,599,T13
74,0,1,0,12,red,599,T13
75,0,1,0,12,red,599,T13
76,0,1,0,12,red,599,T13
77,0,1,0,12,red,599,T13
78,0,1,0,12,red,599,T13
79,0,1,0,12,red,599,T13
80,0,1,0,12,red,599,T13
81,0,1,0,12,red,599,T13
82,0,1,0,12,red,599,T13
83,0,1,0,12,red,599,T13
84,0,1,0,12,red,599,T13
85,0,1,0,12,red,599,T13
86,0,1,0,12,red,599,T13
87,0,1,0,12,red,599,T13
88,0,1,0,12,red,599,T13
89,0,1,0,12,red,599,T13
90,0,1,0,12,red,599,T13
91,0,1,0,12,red,599,T13
92,0,1,0,12,red,599,T13
93,0,1,0,12,red,599,T13
94,0,1,0,12,red,599,T13
95,0,1,0,12,red,599,T13
96,0,1,0,12,red,599,T13
97,0,1,0,12,red,599,T13
98,0,1,0,12,red,599,T13
99,0,1,0,12,red,599,T13
100,0,1,0,12,red,599,T13
101,0,1,0,12,red,599,T13
102,0,1,0,12,red,599,T13
103,0,1,0,12,red,599,T13
104,0,1,0,12,red,599,T13
105,0,1,0,12,red,599,T13
106,0,1,0,12,red,599,T13
107,0,1,0,12,red,599,T13
108,0,1,0,12,red,599,T13
109,0,1,0,12,red,599,T13
110,0,1,0,12,red,599,T13
111,0,1,0,12,red,599,T13
112,0,1,0,12,red,599,T13
113,0,1,0,12,red,599,T13
114,0,1,0,12,red,599,T13
115,0,1,0,12,red,599,T13
116,0,1,0,12,red,599,T13
117,0,1,0,12,red,599,T13
118,0,1,0,12,red,599,T13
119,0,1,0,12,red,599,T13
120,0,1,0,12,red,599,T13
121,0,1,0,12,red,599,T13
122,0,1,0,12,red,599,T13
123,0,1,0,12,red,599,T13
124,0,1,0,12,red,599,T13
125,0,1,0,12,red,599,T13
126,0,1,0,12,red,599,T13
127,0,1,0,12,red,599,T13
128,0,1,0,12,red,599,T13
129,0,1,0,12,red,599,T13
130,0,1,0,12,red,599,T13
131,0,1,0,12,red,599,T13
132,0,1,0,12,red,599,T13
133,0,1,0,12,red,599,T13
134,0,1,0,12,red,599,T13
135,0,1,0,12,red,599,T13
136,0,1,0,12,red,599,T13
137,0,1,0,12,red,599,T13
138,0,1,0,12,red,599,T13
139,0,1,0,12,red,599,T13
140,0,1,0,12,red,599,T13
141,0,1,0,12,red,599,T13
142,0,1,0,12,red,599,T13
143,0,1,0,12,red,599,T13
144,0,1,0,12,red,599,T13
145,0,1,0,12,red,599,T13
146,0,1,0,12,red,599,T13
147,0,1,0,12,red,599,T13
148,0,1,0,12,red,599,T13
149,0,1,0,12,red,599,T13
150,0,1,0,12,red,599,T13
151,0,1,0,12,red,599,T13
152,0,1,0,12,red,599,T13
153,0,1,0,12,red,599,T13
154,0,1,0,12,red,599,T13
155,0,1,0,12,red,599,T13
156,0,1,0,12,red,599,T13
157,0,1,0,12,red,599,T13
158,0,1,0,12,red,599,T13
159,0,1,0,12,red,599,T13
160,0,1,0,12,red,599,T13
161,0,1,0,12,red,599,T13
162,0,1,0,12,red,599,T13
163,0,1,0,12,red,599,T13
164,0,1,0,12,red,599,T13
165,0,1,0,12,red,599,T13
166,0,1,0,12,red,599,T13
167,0,1,0,12,red,599,T13
168,0,1,0,12,red,599,T13
169,0,1,0,12,red,599,T13
170,0,1,0,12,red,599,T13
171,0,1,0,12,red,599,T13
172,0,1,0,12,red,599,T13
173,0,1,0,12,red,599,T13
174,0,1,0,12,red,599,T13
175,0,1,0,12,red,599,T13
176,0,1,0,12,red,599,T13
177,0,1,0,12,red,599,T13
178,0,1,0,12,red,599,T13
179,0,1,0,12,red,599,T13
180,0,1,0,12,red,599,T13
181,0,1,0,12,red,599,T13
182,0,1,0,12,red,599,T13
183,0,1,0,12,red,599,T13
184,0,1,0,12,red,599,T13
185,0,1,0,12,red,599,T13
186,0,1,0,12,red,599,T13
187,0,1,0,12,red,599,T13
188,0,1,0,12,red,599,T13
189,0,1,0,12,red,599,T13
190,0,1,0,12,red,599,T13
191,0,1,0,12,red,599,T13
192,0,1,0,12,red,599,T13
193,0,1,0,12,red,599,T13
194,0,1,0,12,red,599,T13
195,0,1,0,12,red,599,T13
196,0,1,0,12,red,599,T13
197,0,1,0,12,red,599,T13
198,0,1,0,12,red,599,T13
199,0,1,0,12,red,599,T13
200,0,1,0,12,red,599,T13
201,0,1,0,12,red,599,T13
202,0,1,0,12,red,599,T13
203,0,1,0,12,red,599,T13
204,0,1,0,12,red,599,T13
205,0,1,0,12,red,599,T13
206,0,1,0,12,red,599,T13
0,0,0,1,13,red,565,T13
1,0,0,1,13,red,565,T13
2,0,0,1,13,red,565,T13
3,0,0,1,13,red,565,T13
4,0,0,1,13,red,565,T13
5,0,0,1,13,red,565,T13
6,0,0,1,13,red,565,T13
7,0,0,1,13,red,565,T13
8,0,0,1,13,red,565,T13
9,0,0,1,13,red,565,T13
10,0,0,1,13,red,565,T13
11,0,0,1,13,red,565,T13
12,0,0,1,13,red,565,T13
13,0,0,1,13,red,565,T13
14,0,0,1,13,red,565,T13
15,0,0,1,13,red,565,T13
16,0,0,1,13,red,565,T13
17,0,0,1,13,red,565,T13
18,0,0,1,13,red,565,T13
19,0,0,1,13,red,565,T13
20,0,0,1,13,red,565,T13
21,0,0,1,13,red,565,T13
22,0,0,1,13,red,565,T13
23,0,0,1,13,red,565,T13
24,0,0,1,13,red,565,T13
25,0,0,1,13,red,565,T13
26,0,0,1,13,red,565,T13
27,0,0,1,13,red,565,T13
28,0,0,1,13,red,565,T13
29,0,0,1,13,red,565,T13
30,0,0,1,13,red,565,T13
31,0,0,1,13,red,565,T13
32,0,0,1,13,red,565,T13
33,0,0,1,13,red,565,T13
34,0,0,1,13,red,565,T13
35,0,0,1,13,red,565,T13
36,0,0,1,13,red,565,T13
37,0,0,1,13,red,565,T13
38,0,0,1,13,red,565,T13
39,0,0,1,13,red,565,T13
40,0,0,1,13,red,565,T13
41,0,0,1,13,red,565,T13
42,0,0,1,13,red,565,T13
43,0,0,1,13,red,565,T13
44,0,0,1,13,red,565,T13
45,0,0,1,13,red,565,T13
46,0,0,1,13,red,565,T13
47,0,0,1,13,red,565,T13
48,0,0,1,13,red,565,T13
49,0,0,1,13,red,565,T13
50,0,0,1,13,red,565,T13
51,0,0,1,13,red,565,T13
52,0,0,1,13,red,565,T13
53,0,0,1,13,red,565,T13
54,0,0,1,13,red,565,T13
55,0,0,1,13,red,565,T13
56,0,0,1,13,red,565,T13
57,0,0,1,13,red,565,T13
58,0,0,1,13,red,565,T13
59,0,0,1,13,red,565,T13
60,0,0,1,13,red,565,T13
61,0,0,1,13,red,565,T13
62,0,0,1,13,red,565,T13
63,0,0,1,13,red,565,T13
64,0,0,1,13,red,565,T13
65,0,0,1,13,red,565,T13
66,0,0,1,13,red,565,T13
67,0,0,1,13,red,565,T13
68,0,0,1,13,red,565,T13
69,0,0,1,13,red,565,T13
70,0,0,1,13,red,565,T13
71,0,0,1,13,red,565,T13
72,0,0,1,13,red,565,T13
73,0,0,1,13,red,565,T13
74,0,0,1,13,red,565,T13
75,0,0,1,13,red,565,T13
76,0,0,1,13,red,565,T13
77,0,0,1,13,red,565,T13
78,0,0,1,13,red,565,T13
79,1,0,0,13,red,565,T13
80,1,0,0,13,red,565,T13
81,1,0,0,13,red,565,T13
82,1,0,0,13,red,565,T13
83,1,0,0,13,red,565,T13
84,1,0,0,13,red,565,T13
85,1,0,0,13,red,565,T13
86,1,0,0,13,red,565,T13
87,1,0,0,13,red,565,T13
88,1,0,0,13,red,565,T13
89,1,0,0,13,red,565,T13
90,1,0,0,13,red,565,T13
91,1,0,0,13,red,565,T13
92,1,0,0,13,red,565,T13
93,1,0,0,13,red,565,T13
94,1,0,0,13,red,565,T13
95,1,0,0,13,red,565,T13
96,1,0,0,13,red,565,T13
97,1,0,0,13,red,565,T13
98,1,0,0,13,red,565,T13
99,1,0,0,13,red,565,T13
100,1,0,0,13,red,565,T13
101,1,0,0,13,red,565,T13
102,1,0,0,13,red,565,T13
103,1,0,0,13,red,565,T13
104,1,0,0,13,red,565,T13
105,1,0,0,13,red,565,T13
106,1,0,0,13,red,565,T13
107,1,0,0,13,red,565,T13
108,1,0,0,13,red,565,T13
109,1,0,0,13,red,565,T13
110,1,0,0,13,red,565,T13
111,1,0,0,13,red,565,T13
112,1,0,0,13,red,565,T13
113,1,0,0,13,red,565,T13
114,1,0,0,13,red,565,T13
115,1,0,0,13,red,565,T13
116,1,0,0,13,red,565,T13
117,1,0,0,13,red,565,T13
118,1,0,0,13,red,565,T13
119,1,0,0,13,red,565,T13
120,1,0,0,13,red,565,T13
121,1,0,0,13,red,565,T13
122,1,0,0,13,red,565,T13
123,1,0,0,13,red,565,T13
124,1,0,0,13,red,565,T13
125,1,0,0,13,red,565,T13
126,1,0,0,13,red,565,T13
127,1,0,0,13,red,565,T13
128,1,0,0,13,red,565,T13
129,1,0,0,13,red,565,T13
130,1,0,0,13,red,565,T13
131,1,0,0,13,red,565,T13
132,1,0,0,13,red,565,T13
133,1,0,0,13,red,565,T13
134,1,0,0,13,red,565,T13
135,1,0,0,13,red,565,T13
136,1,0,0,13,red,565,T13
137,1,0,0,13,red,565,T13
138,1,0,0,13,red,565,T13
139,1,0,0,13,red,565,T13
140,1,0,0,13,red,565,T13
141,1,0,0,13,red,565,T13
142,1,0,0,13,red,565,T13
143,1,0,0,13,red,565,T13
144,1,0,0,13,red,565,T13
145,1,0,0,13,red,565,T13
146,1,0,0,13,red,565,T13
147,1,0,0,13,red,565,T13
148,1,0,0,13,red,565,T13
149,1,0,0,13,red,565,T13
150,1,0,0,13,red,565,T13
151,1,0,0,13,red,565,T13
152,1,0,0,13,red,565,T13
153,1,0,0,13,red,565,T13
154,1,0,0,13,red,565,T13
155,1,0,0,13,red,565,T13
156,1,0,0,13,red,565,T13
157,1,0,0,13,red,565,T13
158,1,0,0,13,red,565,T13
159,1,0,0,13,red,565,T13
160,1,0,0,13,red,565,T13
161,1,0,0,13,red,565,T13
162,1,0,0,13,red,565,T13
163,1,0,0,13,red,565,T13
164,1,0,0,13,red,565,T13
165,1,0,0,13,red,565,T13
166,1,0,0,13,red,565,T13
167,1,0,0,13,red,565,T13
168,1,0,0,13,red,565,T13
169,1,0,0,13,red,565,T13
170,1,0,0,13,red,565,T13
171,1,0,0,13,red,565,T13
172,1,0,0,13,red,565,T13
173,1,0,0,13,red,565,T13
174,1,0,0,13,red,565,T13
175,1,0,0,13,red,565,T13
176,1,0,0,13,red,565,T13
177,1,0,0,13,red,565,T13
178,1,0,0,13,red,565,T13
179,1,0,0,13,red,565,T13
180,1,0,0,13,red,565,T13
181,1,0,0,13,red,565,T13
182,1,0,0,13,red,565,T13
183,1,0,0,13,red,565,T13
184,1,0,0,13,red,565,T13
185,1,0,0,13,red,565,T13
186,1,0,0,13,red,565,T13
187,1,0,0,13,red,565,T13
188,1,0,0,13,red,565,T13
189,1,0,0,13,red,565,T13
190,1,0,0,13,red,565,T13
191,1,0,0,13,red,565,T13
192,1,0,0,13,red,565,T13
193,1,0,0,13,red,565,T13
194,1,0,0,13,red,565,T13
195,1,0,0,13,red,565,T13
196,1,0,0,13,red,565,T13
197,1,0,0,13,red,565,T13
198,1,0,0,13,red,565,T13
199,1,0,0,13,red,565,T13
200,1,0,0,13,red,565,T13
201,1,0,0,13,red,565,T13
202,1,0,0,13,red,565,T13
203,1,0,0,13,red,565,T13
204,1,0,0,13,red,565,T13
205,1,0,0,13,red,565,T13
206,1,0,0,13,red,565,T13
0,0,0,1,14,red,942,T13
1,0,0,1,14,red,942,T13
2,0,0,1,14,red,942,T13
3,0,0,1,14,red,942,T13
4,0,0,1,14,red,942,T13
5,0,0,1,14,red,942,T13
6,0,0,1,14,red,942,T13
7,0,0,1,14,red,942,T13
8,0,0,1,14,red,942,T13
9,0,0,1,14,red,942,T13
10,0,0,1,14,red,942,T13
11,0,0,1,14,red,942,T13
12,0,0,1,14,red,942,T13
13,0,0,1,14,red,942,T13
14,0,0,1,14,red,942,T13
15,0,0,1,14,red,942,T13
16,0,0,1,14,red,942,T13
17,0,0,1,14,red,942,T13
18,0,0,1,14,red,942,T13
19,0,0,1,14,red,942,T13
20,0,0,1,14,red,942,T13
21,0,0,1,14,red,942,T13
22,0,0,1,14,red,942,T13
23,0,0,1,14,red,942,T13
24,0,0,1,14,red,942,T13
25,0,0,1,14,red,942,T13
26,0,0,1,14,red,942,T13
27,0,0,1,14,red,942,T13
28,0,0,1,14,red,942,T13
29,0,0,1,14,red,942,T13
30,0,0,1,14,red,942,T13
31,0,0,1,14,red,942,T13
32,0,0,1,14,red,942,T13
33,0,1,0,14,red,942,T13
34,0,1,0,14,red,942,T13
35,0,1,0,14,red,942,T13
36,0,1,0,14,red,942,T13
37,0,1,0,14,red,942,T13
38,0,1,0,14,red,942,T13
39,0,1,0,14,red,942,T13
40,0,1,0,14,red,942,T13
41,0,1,0,14,red,942,T13
42,0,1,0,14,red,942,T13
43,0,1,0,14,red,942,T13
44,0,1,0,14,red,942,T13
45,0,1,0,14,red,942,T13
46,0,1,0,14,red,942,T13
47,0,1,0,14,red,942,T13
48,0,1,0,14,red,942,T13
49,0,1,0,14,red,942,T13
50,0,1,0,14,red,942,T13
51,0,1,0,14,red,942,T13
52,0,1,0,14,red,942,T13
53,0,1,0,14,red,942,T13
54,0,1,0,14,red,942,T13
55,0,1,0,14,red,942,T13
56,0,1,0,14,red,942,T13
57,0,1,0,14,red,942,T13
58,0,1,0,14,red,942,T13
59,0,1,0,14,red,942,T13
60,0,1,0,14,red,942,T13
61,0,1,0,14,red,942,T13
62,0,1,0,14,red,942,T13
63,0,1,0,14,red,942,T13
64,0,1,0,14,red,942,T13
65,0,1,0,14,red,942,T13
66,0,1,0,14,red,942,T13
67,0,1,0,14,red,942,T13
68,0,1,0,14,red,942,T13
69,0,1,0,14,red,942,T13
70,0,1,0,14,red,942,T13
71,0,1,0,14,red,942,T13
72,0,1,0,14,red,942,T13
73,0,1,0,14,red,942,T13
74,0,1,0,14,red,942,T13
75,0,1,0,14,red,942,T13
76,0,1,0,14,red,942,T13
77,0,1,0,14,red,942,T13
78,0,1,0,14,red,942,T13
79,0,1,0,14,red,942,T13
80,0,1,0,14,red,942,T13
81,0,1,0,14,red,942,T13
82,0,1,0,14,red,942,T13
83,0,1,0,14,red,942,T13
84,0,1,0,14,red,942,T13
85,0,1,0,14,red,942,T13
86,0,1,0,14,red,942,T13
87,0,1,0,14,red,942,T13
88,0,1,0,14,red,942,T13
89,0,1,0,14,red,942,T13
90,0,1,0,14,red,942,T13
91,0,1,0,14,red,942,T13
92,0,1,0,14,red,942,T13
93,0,1,0,14,red,942,T13
94,0,1,0,14,red,942,T13
95,0,1,0,14,red,942,T13
96,0,1,0,14,red,942,T13
97,0,1,0,14,red,942,T13
98,0,1,0,14,red,942,T13
99,0,1,0,14,red,942,T13
100,0,1,0,14,red,942,T13
101,0,1,0,14,red,942,T13
102,0,1,0,14,red,942,T13
103,0,1,0,14,red,942,T13
104,0,1,0,14,red,942,T13
105,0,1,0,14,red,942,T13
106,0,1,0,14,red,942,T13
107,0,1,0,14,red,942,T13
108,0,1,0,14,red,942,T13
109,0,1,0,14,red,942,T13
110,0,1,0,14,red,942,T13
111,0,1,0,14,red,942,T13
112,0,1,0,14,red,942,T13
113,0,1,0,14,red,942,T13
114,0,1,0,14,red,942,T13
115,0,1,0,14,red,942,T13
116,0,1,0,14,red,942,T13
117,0,1,0,14,red,942,T13
118,0,1,0,14,red,942,T13
119,0,1,0,14,red,942,T13
120,0,1,0,14,red,942,T13
121,0,1,0,14,red,942,T13
122,0,1,0,14,red,942,T13
123,0,1,0,14,red,942,T13
124,0,1,0,14,red,942,T13
125,0,1,0,14,red,942,T13
126,0,1,0,14,red,942,T13
127,0,1,0,14,red,942,T13
128,0,1,0,14,red,942,T13
129,0,1,0,14,red,942,T13
130,0,1,0,14,red,942,T13
131,0,1,0,14,red,942,T13
132,0,1,0,14,red,942,T13
133,0,1,0,14,red,942,T13
134,0,1,0,14,red,942,T13
135,0,1,0,14,red,942,T13
136,0,1,0,14,red,942,T13
137,0,1,0,14,red,942,T13
138,0,1,0,14,red,942,T13
139,0,0,1,14,red,942,T13
140,0,0,1,14,red,942,T13
141,1,0,0,14,red,942,T13
142,1,0,0,14,red,942,T13
143,1,0,0,14,red,942,T13
144,1,0,0,14,red,942,T13
145,1,0,0,14,red,942,T13
146,1,0,0,14,red,942,T13
147,1,0,0,14,red,942,T13
148,1,0,0,14,red,942,T13
149,1,0,0,14,red,942,T13
150,1,0,0,14,red,942,T13
151,1,0,0,14,red,942,T13
152,1,0,0,14,red,942,T13
153,1,0,0,14,red,942,T13
154,1,0,0,14,red,942,T13
155,1,0,0,14,red,942,T13
156,1,0,0,14,red,942,T13
157,1,0,0,14,red,942,T13
158,1,0,0,14,red,942,T13
159,1,0,0,14,red,942,T13
160,1,0,0,14,red,942,T13
161,1,0,0,14,red,942,T13
162,1,0,0,14,red,942,T13
163,1,0,0,14,red,942,T13
164,1,0,0,14,red,942,T13
165,1,0,0,14,red,942,T13
166,1,0,0,14,red,942,T13
167,1,0,0,14,red,942,T13
168,1,0,0,14,red,942,T13
169,1,0,0,14,red,942,T13
170,1,0,0,14,red,942,T13
171,1,0,0,14,red,942,T13
172,1,0,0,14,red,942,T13
173,1,0,0,14,red,942,T13
174,1,0,0,14,red,942,T13
175,1,0,0,14,red,942,T13
176,1,0,0,14,red,942,T13
177,1,0,0,14,red,942,T13
178,1,0,0,14,red,942,T13
179,1,0,0,14,red,942,T13
180,1,0,0,14,red,942,T13
181,1,0,0,14,red,942,T13
182,1,0,0,14,red,942,T13
183,1,0,0,14,red,942,T13
184,1,0,0,14,red,942,T13
185,1,0,0,14,red,942,T13
186,1,0,0,14,red,942,T13
187,1,0,0,14,red,942,T13
188,1,0,0,14,red,942,T13
189,1,0,0,14,red,942,T13
190,1,0,0,14,red,942,T13
191,1,0,0,14,red,942,T13
192,1,0,0,14,red,942,T13
193,1,0,0,14,red,942,T13
194,1,0,0,14,red,942,T13
195,1,0,0,14,red,942,T13
196,1,0,0,14,red,942,T13
197,1,0,0,14,red,942,T13
198,1,0,0,14,red,942,T13
199,1,0,0,14,red,942,T13
200,1,0,0,14,red,942,T13
201,1,0,0,14,red,942,T13
202,1,0,0,14,red,942,T13
203,1,0,0,14,red,942,T13
204,1,0,0,14,red,942,T13
205,1,0,0,14,red,942,T13
206,1,0,0,14,red,942,T13
0,0,0,1,15,red,971,T13
1,0,0,1,15,red,971,T13
2,0,0,1,15,red,971,T13
3,0,0,1,15,red,971,T13
4,0,0,1,15,red,971,T13
5,0,0,1,15,red,971,T13
6,0,0,1,15,red,971,T13
7,0,0,1,15,red,971,T13
8,0,0,1,15,red,971,T13
9,0,0,1,15,red,971,T13
10,0,0,1,15,red,971,T13
11,0,0,1,15,red,971,T13
12,0,0,1,15,red,971,T13
13,0,0,1,15,red,971,T13
14,0,0,1,15,red,971,T13
15,0,0,1,15,red,971,T13
16,0,0,1,15,red,971,T13
17,0,0,1,15,red,971,T13
18,0,0,1,15,red,971,T13
19,0,0,1,15,red,971,T13
20,0,0,1,15,red,971,T13
21,0,0,1,15,red,971,T13
22,0,0,1,15,red,971,T13
23,0,0,1,15,red,971,T13
24,0,0,1,15,red,971,T13
25,0,0,1,15,red,971,T13
26,0,0,1,15,red,971,T13
27,0,0,1,15,red,971,T13
28,0,0,1,15,red,971,T13
29,0,0,1,15,red,971,T13
30,0,0,1,15,red,971,T13
31,0,0,1,15,red,971,T13
32,0,0,1,15,red,971,T13
33,0,0,1,15,red,971,T13
34,0,0,1,15,red,971,T13
35,0,0,1,15,red,971,T13
36,0,0,1,15,red,971,T13
37,0,0,1,15,red,971,T13
38,0,0,1,15,red,971,T13
39,0,0,1,15,red,971,T13
40,0,0,1,15,red,971,T13
41,0,0,1,15,red,971,T13
42,0,0,1,15,red,971,T13
43,0,0,1,15,red,971,T13
44,0,0,1,15,red,971,T13
45,0,0,1,15,red,971,T13
46,0,0,1,15,red,971,T13
47,0,0,1,15,red,971,T13
48,0,0,1,15,red,971,T13
49,0,0,1,15,red,971,T13
50,0,0,1,15,red,971,T13
51,0,0,1,15,red,971,T13
52,0,0,1,15,red,971,T13
53,0,0,1,15,red,971,T13
54,0,0,1,15,red,971,T13
55,0,0,1,15,red,971,T13
56,0,0,1,15,red,971,T13
57,0,0,1,15,red,971,T13
58,0,0,1,15,red,971,T13
59,0,0,1,15,red,971,T13
60,0,0,1,15,red,971,T13
61,0,0,1,15,red,971,T13
62,0,0,1,15,red,971,T13
63,0,0,1,15,red,971,T13
64,0,0,1,15,red,971,T13
65,0,0,1,15,red,971,T13
66,0,0,1,15,red,971,T13
67,0,0,1,15,red,971,T13
68,0,0,1,15,red,971,T13
69,0,0,1,15,red,971,T13
70,0,0,1,15,red,971,T13
71,0,0,1,15,red,971,T13
72,0,0,1,15,red,971,T13
73,0,0,1,15,red,971,T13
74,0,0,1,15,red,971,T13
75,0,0,1,15,red,971,T13
76,0,0,1,15,red,971,T13
77,0,0,1,15,red,971,T13
78,0,0,1,15,red,971,T13
79,0,0,1,15,red,971,T13
80,0,0,1,15,red,971,T13
81,0,0,1,15,red,971,T13
82,0,0,1,15,red,971,T13
83,0,0,1,15,red,971,T13
84,0,0,1,15,red,971,T13
85,0,0,1,15,red,971,T13
86,0,0,1,15,red,971,T13
87,0,0,1,15,red,971,T13
88,0,0,1,15,red,971,T13
89,0,0,1,15,red,971,T13
90,0,0,1,15,red,971,T13
91,0,0,1,15,red,971,T13
92,0,0,1,15,red,971,T13
93,0,0,1,15,red,971,T13
94,0,0,1,15,red,971,T13
95,0,0,1,15,red,971,T13
96,0,0,1,15,red,971,T13
97,0,0,1,15,red,971,T13
98,0,0,1,15,red,971,T13
99,0,0,1,15,red,971,T13
100,0,0,1,15,red,971,T13
101,0,0,1,15,red,971,T13
102,0,0,1,15,red,971,T13
103,0,0,1,15,red,971,T13
104,0,0,1,15,red,971,T13
105,0,0,1,15,red,971,T13
106,0,0,1,15,red,971,T13
107,0,0,1,15,red,971,T13
108,0,0,1,15,red,971,T13
109,0,0,1,15,red,971,T13
110,0,0,1,15,red,971,T13
111,0,1,0,15,red,971,T13
112,0,1,0,15,red,971,T13
113,0,1,0,15,red,971,T13
114,0,1,0,15,red,971,T13
115,0,1,0,15,red,971,T13
116,0,1,0,15,red,971,T13
117,0,1,0,15,red,971,T13
118,0,1,0,15,red,971,T13
119,0,1,0,15,red,971,T13
120,0,1,0,15,red,971,T13
121,0,1,0,15,red,971,T13
122,0,1,0,15,red,971,T13
123,0,1,0,15,red,971,T13
124,0,1,0,15,red,971,T13
125,0,1,0,15,red,971,T13
126,0,1,0,15,red,971,T13
127,0,1,0,15,red,971,T13
128,0,1,0,15,red,971,T13
129,0,1,0,15,red,971,T13
130,0,1,0,15,red,971,T13
131,0,1,0,15,red,971,T13
132,0,1,0,15,red,971,T13
133,0,1,0,15,red,971,T13
134,0,1,0,15,red,971,T13
135,0,1,0,15,red,971,T13
136,0,1,0,15,red,971,T13
137,0,0,1,15,red,971,T13
138,0,0,1,15,red,971,T13
139,0,0,1,15,red,971,T13
140,1,0,0,15,red,971,T13
141,1,0,0,15,red,971,T13
142,1,0,0,15,red,971,T13
143,1,0,0,15,red,971,T13
144,1,0,0,15,red,971,T13
145,1,0,0,15,red,971,T13
146,1,0,0,15,red,971,T13
147,1,0,0,15,red,971,T13
148,1,0,0,15,red,971,T13
149,1,0,0,15,red,971,T13
150,1,0,0,15,red,971,T13
151,1,0,0,15,red,971,T13
152,1,0,0,15,red,971,T13
153,1,0,0,15,red,971,T13
154,1,0,0,15,red,971,T13
155,1,0,0,15,red,971,T13
156,1,0,0,15,red,971,T13
157,1,0,0,15,red,971,T13
158,1,0,0,15,red,971,T13
159,1,0,0,15,red,971,T13
160,1,0,0,15,red,971,T13
161,1,0,0,15,red,971,T13
162,1,0,0,15,red,971,T13
163,1,0,0,15,red,971,T13
164,1,0,0,15,red,971,T13
165,1,0,0,15,red,971,T13
166,1,0,0,15,red,971,T13
167,1,0,0,15,red,971,T13
168,1,0,0,15,red,971,T13
169,1,0,0,15,red,971,T13
170,1,0,0,15,red,971,T13
171,1,0,0,15,red,971,T13
172,1,0,0,15,red,971,T13
173,1,0,0,15,red,971,T13
174,1,0,0,15,red,971,T13
175,1,0,0,15,red,971,T13
176,1,0,0,15,red,971,T13
177,1,0,0,15,red,971,T13
178,1,0,0,15,red,971,T13
179,1,0,0,15,red,971,T13
180,1,0,0,15,red,971,T13
181,1,0,0,15,red,971,T13
182,1,0,0,15,red,971,T13
183,1,0,0,15,red,971,T13
